00000000000000000000000010000001	256	add x1, x0, x0
00000000001100000000000100000010	260	addi x2, x0, #3
00000000001000001000111100000000	264	beq x1, x2, #30
00000000001000001000001100001110	268	sll x6, x1, #2
00010100100000110000000110010110	272	lw x3, 328(x6)
00010101010000110000001000010110	276	lw x4, 340(x6)
00000000010000011000001010000001	280	add x5, x3, x4
00000000000000101000001100001000	284	blt x5, x0, #6
00000000010000011000001010000101	288	sub x5, x3, x4
00000000000000000100001110000011	292	jal x7, #4
00010100011000101000101000001100	296	sw x5, 340(x6)
00000000000100001000000010000010	300	addi x1, x1, #1
11111111110000001110011000001010	304	ori x12, x1, #-4
00000101011100001111011100000110	308	andi x14, x1, #87
00000000111001100111100000001001	312	and x16, x12, x14
00000000111001100000100010001101	316	or x17, x12, x14
11111111111111100100010000000011	320	jal x8, #-28
00000000000000000000000001111111	324	break
11111111111111111111111111111111	328	-1
11111111111111111111111111111110	332	-2
11111111111111111111111111111100	336	-4
00000000000000000000000000000001	340	1
00000000000000000000000000000010	344	2
00000000000000000000000000000011	348	3
11111111111111111111111111111100	352	-4
00000000000000000000000000001010	356	10
00000000000000000000000000000111	360	7
00000000000000000000000000001001	364	9
00000000000000000000000000000001	368	1
00000000000000000000000000000000	372	0
11111111111111111111111111111111	376	-1
